,Vote,Country,Name,First,Second,Third
162,Coach,Bahamas,Godet Dion,Messi Lionel,Cristiano Ronaldo,Kane Harry
163,Coach,Bahrain,Soukup Miroslav,Cristiano Ronaldo,Messi Lionel,Marcelo
164,Coach,Bangladesh,Ord Andrew,Suárez Luis,Griezmann Antoine,Buffon Gianluigi
165,Coach,Barbados,Mohamed Ahmed,Aubameyang Pierre-Emerick,Kanté N'Golo,Neymar
166,Coach,Belarus,Kriushenko Igor,Messi Lionel,Cristiano Ronaldo,Dybala Paulo
167,Coach,Belgium,Martinez Roberto,Hazard Eden,Cristiano Ronaldo,Modric Luka
168,Coach,Belize,Richard Orlowski,Lewandowski Robert,Buffon Gianluigi,Iniesta Andrés
169,Coach,Bermuda,Lightbourne Kyle,Cristiano Ronaldo,Hazard Eden,Dybala Paulo
170,Coach,Bhutan,Splitter Torsten,Cristiano Ronaldo,Messi Lionel,Neymar
171,Coach,Bosnia and Herzegovina,Baždarevic Mehmed,Cristiano Ronaldo,Ramos Sergio,Buffon Gianluigi
172,Coach,Brazil,Bachi Adenor Leonardo,Cristiano Ronaldo,Neymar,Messi Lionel
173,Coach,British Virgin Islands,Falopa Marcos,Neymar,Cristiano Ronaldo,Messi Lionel
174,Coach,Burkina Faso,Paolo Duarte,Cristiano Ronaldo,Messi Lionel,Neymar
175,Coach,Burundi,Niyungeko Alain Olivier,Cristiano Ronaldo,Messi Lionel,Buffon Gianluigi
176,Coach,Cambodia,Leonardo Vitorino,Neymar,Cristiano Ronaldo,Messi Lionel
177,Coach,Cameroon,Broos Hugo,Cristiano Ronaldo,Messi Lionel,Buffon Gianluigi
178,Coach,Canada,Zambrano Octavio,Cristiano Ronaldo,Vidal Arturo,Messi Lionel
179,Coach,Chad,Mahamat Oumar Yaya,Cristiano Ronaldo,Buffon Gianluigi,Messi Lionel
180,Coach,China PR,Lippi Marcello,Cristiano Ronaldo,Modric Luka,Buffon Gianluigi
181,Coach,Chinese Taipei,Kuroda Kazuo,Buffon Gianluigi,Cristiano Ronaldo,Modric Luka
182,Coach,Colombia,Pekerman Jose,Messi Lionel,Modric Luka,Lewandowski Robert
183,Coach,Congo,Migne Sébastien Bernard Henri Clément,Cristiano Ronaldo,Buffon Gianluigi,Modric Luka
184,Coach,Cook Islands,Ibrom Jess,Cristiano Ronaldo,Messi Lionel,Ibrahimovic Zlatan
185,Coach,Costa Rica,Ramirez Hernández Oscar,Navas Keylor,Cristiano Ronaldo,Modric Luka
186,Coach,Croatia,Cacic Ante,Cristiano Ronaldo,Modric Luka,Messi Lionel
187,Coach,Cuba,Mendes Jose,Cristiano Ronaldo,Neymar,Buffon Gianluigi
